scheme,Δω_op,mode_idx,real,imag,omega_n,damping
C4,0.2,1,-50.01706428245773,0.0,50.01706428245773,1.0
C4,0.2,2,-50.00042791000795,0.0,50.00042791000795,1.0
C4,0.2,3,-34.02367292009247,0.0,34.02367292009247,1.0
C4,0.2,4,-5.100779707994949,0.0,5.100779707994949,1.0
C4,0.2,5,2.5800572615057872e-5,0.0,2.5800572615057872e-5,-1.0
C1,0.3,1,-331.963566299327,0.0,331.963566299327,1.0
C1,0.3,2,-50.00001756138137,0.0,50.00001756138137,1.0
C1,0.3,3,-21.378630815173164,0.0,21.378630815173164,1.0
C1,0.3,4,-3.7235686385159306,0.0,3.7235686385159306,1.0
C1,0.3,5,0.0,0.0,0.0,1.0
C2,0.3,1,-331.4600159962941,0.0,331.4600159962941,1.0
C2,0.3,2,-50.0000347146145,0.0,50.0000347146145,1.0
C2,0.3,3,-21.712292310044784,0.0,21.712292310044784,1.0
C2,0.3,4,-3.893076495563376,0.0,3.893076495563376,1.0
C2,0.3,5,0.0,0.0,0.0,1.0
C3,0.3,1,-331.6816037373279,0.0,331.6816037373279,1.0
C3,0.3,2,-50.000062824802534,0.0,50.000062824802534,1.0
C3,0.3,3,-21.20403732678398,0.0,21.20403732678398,1.0
C3,0.3,4,-4.180443223363796,0.0,4.180443223363796,1.0
C3,0.3,5,0.0,0.0,0.0,1.0
C4,0.3,1,-61.417662799983674,0.0,61.417662799983674,1.0
C4,0.3,2,-50.00004553736063,0.0,50.00004553736063,1.0
C4,0.3,3,-30.228897772894932,0.0,30.228897772894932,1.0
C4,0.3,4,-5.989889603120222,0.0,5.989889603120222,1.0
C4,0.3,5,4.3605335202946475e-5,0.0,4.3605335202946475e-5,-1.0
C1,0.4,1,-322.02738228326956,0.0,322.02738228326956,1.0
C1,0.4,2,-49.99986092933889,0.0,49.99986092933889,1.0
C1,0.4,3,-21.423626470242247,0.0,21.423626470242247,1.0
C1,0.4,4,-3.71526861669209,0.0,3.71526861669209,1.0
C1,0.4,5,0.0,0.0,0.0,1.0
C2,0.4,1,-321.33390889172546,0.0,321.33390889172546,1.0
C2,0.4,2,-49.9996761286575,0.0,49.9996761286575,1.0
C2,0.4,3,-21.88654043672835,0.0,21.88654043672835,1.0
C2,0.4,4,-3.946012842431425,0.0,3.946012842431425,1.0
C2,0.4,5,0.0,0.0,0.0,1.0
C3,0.4,1,-321.63966817721746,0.0,321.63966817721746,1.0
C3,0.4,2,-49.999382932701515,0.0,49.999382932701515,1.0
C3,0.4,3,-21.19336820353911,0.0,21.19336820353911,1.0
C3,0.4,4,-4.333718986084907,0.0,4.333718986084907,1.0
C3,0.4,5,0.0,0.0,0.0,1.0
C4,0.4,1,-70.01486792928259,0.0,70.01486792928259,1.0
C4,0.4,2,-49.99990445359988,0.0,49.99990445359988,1.0
C4,0.4,3,-28.475803817114247,0.0,28.475803817114247,1.0
C4,0.4,4,-6.716430878129067,0.0,6.716430878129067,1.0
C4,0.4,5,6.1038360414884e-5,0.0,6.1038360414884e-5,-1.0
C1,0.5,1,-309.90759183600784,0.0,309.90759183600784,1.0
C1,0.5,2,-50.00007903064544,0.0,50.00007903064544,1.0
C1,0.5,3,-21.481521655151592,0.0,21.481521655151592,1.0
C1,0.5,4,-3.7054276926051486,0.0,3.7054276926051486,1.0
C1,0.5,5,0.0,0.0,0.0,1.0
C2,0.5,1,-309.0041713429667,0.0,309.0041713429667,1.0
C2,0.5,2,-50.00021040322889,0.0,50.00021040322889,1.0
